Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Baseline_Serial, 250000, 1, 1, 0.000000, 0.010053, 0.010053
Baseline_PThreads, 250000, 1, 1, 0.000000, 0.010132, 0.010132
Baseline_OMP, 250000, 1, 1, 0.000000, 0.010083, 0.010083
Baseline_PThreads, 250000, 1, 2, 0.000000, 0.010370, 0.010370
Baseline_OMP, 250000, 1, 2, 0.000000, 0.005195, 0.005195
Baseline_PThreads, 250000, 1, 4, 0.000000, 0.003630, 0.003630
Baseline_OMP, 250000, 1, 4, 0.000000, 0.009009, 0.009009
Baseline_PThreads, 250000, 1, 8, 0.000000, 0.003402, 0.003402
Baseline_OMP, 250000, 1, 8, 0.000000, 0.002846, 0.002846
Baseline_Serial, 500000, 1, 1, 0.000000, 0.026234, 0.026234
Baseline_PThreads, 500000, 1, 1, 0.000000, 0.026250, 0.026250
Baseline_OMP, 500000, 1, 1, 0.000000, 0.026265, 0.026265
Baseline_PThreads, 500000, 1, 2, 0.000000, 0.016302, 0.016302
Baseline_OMP, 500000, 1, 2, 0.000000, 0.013264, 0.013264
Baseline_PThreads, 500000, 1, 4, 0.000000, 0.008837, 0.008837
Baseline_OMP, 500000, 1, 4, 0.000000, 0.007207, 0.007207
Baseline_PThreads, 500000, 1, 8, 0.000000, 0.004731, 0.004731
Baseline_OMP, 500000, 1, 8, 0.000000, 0.004198, 0.004198
Baseline_Serial, 750000, 1, 1, 0.000000, 0.045913, 0.045913
Baseline_PThreads, 750000, 1, 1, 0.000000, 0.045935, 0.045935
Baseline_OMP, 750000, 1, 1, 0.000000, 0.045843, 0.045843
Baseline_PThreads, 750000, 1, 2, 0.000000, 0.028514, 0.028514
Baseline_OMP, 750000, 1, 2, 0.000000, 0.023104, 0.023104
Baseline_PThreads, 750000, 1, 4, 0.000000, 0.022097, 0.022097
Baseline_OMP, 750000, 1, 4, 0.000000, 0.026269, 0.026269
Baseline_PThreads, 750000, 1, 8, 0.000000, 0.011025, 0.011025
Baseline_OMP, 750000, 1, 8, 0.000000, 0.013837, 0.013837
Baseline_Serial, 1000000, 1, 1, 0.000000, 0.068351, 0.068351
Baseline_PThreads, 1000000, 1, 1, 0.000000, 0.068555, 0.068555
Baseline_OMP, 1000000, 1, 1, 0.000000, 0.068546, 0.068546
Baseline_PThreads, 1000000, 1, 2, 0.000000, 0.045558, 0.045558
Baseline_OMP, 1000000, 1, 2, 0.000000, 0.034379, 0.034379
Baseline_PThreads, 1000000, 1, 4, 0.000000, 0.037009, 0.037009
Baseline_OMP, 1000000, 1, 4, 0.000000, 0.017362, 0.017362
