Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task2, 250000, 1, 1, 0.000180, 0.010320, 0.010536
Task2, 250000, 1, 2, 0.000189, 0.006047, 0.006272
Task2, 250000, 1, 4, 0.000169, 0.012413, 0.012616
Task2, 250000, 1, 8, 0.000131, 0.017794, 0.017958
Task2, 250000, 2, 1, 0.001369, 0.011413, 0.012827
Task2, 250000, 2, 2, 0.001316, 0.005715, 0.007070
Task2, 250000, 2, 4, 0.001455, 0.014341, 0.015841
Task2, 250000, 2, 8, 0.001235, 0.003611, 0.004898
Task2, 250000, 4, 1, 0.001602, 0.005741, 0.007489
Task2, 250000, 4, 2, 0.002118, 0.004182, 0.006435
Task2, 250000, 4, 4, 0.001343, 0.010278, 0.011661
Task2, 250000, 4, 8, 0.001517, 0.003303, 0.004877
Task2, 250000, 8, 1, 0.002356, 0.003258, 0.014321
Task2, 250000, 8, 2, 0.002061, 0.002860, 0.013720
Task2, 250000, 8, 4, 0.002262, 0.002697, 0.014273
Task2, 500000, 1, 1, 0.000276, 0.026408, 0.026716
Task2, 500000, 1, 2, 0.000387, 0.025224, 0.025671
Task2, 500000, 1, 4, 0.000341, 0.016665, 0.017044
Task2, 500000, 1, 8, 0.000316, 0.005915, 0.006275
Task2, 500000, 2, 1, 0.001712, 0.026154, 0.027911
Task2, 500000, 2, 2, 0.002339, 0.013632, 0.016017
Task2, 500000, 2, 4, 0.002216, 0.015572, 0.017834
Task2, 500000, 2, 8, 0.002153, 0.008549, 0.010751
Task2, 500000, 4, 1, 0.004801, 0.013651, 0.018497
Task2, 500000, 4, 2, 0.004158, 0.007673, 0.011952
Task2, 500000, 4, 4, 0.004420, 0.004787, 0.009261
Task2, 500000, 4, 8, 0.004660, 0.005548, 0.010580
Task2, 500000, 8, 1, 0.004189, 0.007482, 0.020780
Task2, 500000, 8, 2, 0.003076, 0.004561, 0.015606
Task2, 500000, 8, 4, 0.004042, 0.004299, 0.017733
Task2, 750000, 1, 1, 0.000363, 0.056217, 0.056617
Task2, 750000, 1, 2, 0.000500, 0.023760, 0.024299
Task2, 750000, 1, 4, 0.000453, 0.014151, 0.014641
Task2, 750000, 1, 8, 0.000451, 0.020761, 0.021248
Task2, 750000, 2, 1, 0.002559, 0.045782, 0.048394
Task2, 750000, 2, 2, 0.003673, 0.023607, 0.027331
Task2, 750000, 2, 4, 0.002641, 0.021390, 0.024081
Task2, 750000, 2, 8, 0.002411, 0.007213, 0.009672
